shipment_id,shopify_order_id,tracking_number,carrier,ship_date,status,last_scan_at
SS-8025,#6473,21851888880670654051,FedEx,2026-07-21,delivered,2026-07-25T10:44:00-05:00
SS-8197,#6552,3098839205302146,USPS,2026-07-21,in_transit,2026-07-26T13:00:00-07:00
SS-8208,#6466,88574489061203471754,USPS,2026-07-21,in_transit,2026-07-25T22:05:00-07:00
SS-8239,#6542,3521103924051477,USPS,2026-07-21,delivered,2026-07-26T17:54:00-04:00
SS-8266,#6518,0943533448571422410988,FedEx,2026-07-21,delivered,2026-07-24T20:19:00-04:00
SS-8280,#6558,80778795654420949407,FedEx,2026-07-21,delivered,2026-07-26T11:53:00-07:00
SS-8345,#6532,69083572324665136442,FedEx,2026-07-21,delivered,2026-07-26T17:07:00-05:00
SS-8359,#6497,2875721586241502745644,USPS,2026-07-21,delivered,2026-07-23T11:29:00-07:00
SS-8406,#6514,43173505831997179110,UPS,2026-07-21,delivered,2026-07-24T12:34:00-04:00
SS-8579,#6506,6087066266821719,USPS,2026-07-21,delivered,2026-07-23T14:53:00-04:00
SS-8587,#6504,45449014954277070705,FedEx,2026-07-21,in_transit,2026-07-26T07:41:00-05:00
SS-8951,#6547,7258733930493665380274,UPS,2026-07-21,delivered,2026-07-24T08:40:00-05:00
SS-9048,#6523,2913167080568566,FedEx,2026-07-21,in_transit,2026-07-26T20:20:00-07:00
SS-9127,#6554,9669417996708089747485,UPS,2026-07-21,delivered,2026-07-22T09:40:00-05:00
SS-9220,#6546,70317543802741485726,FedEx,2026-07-21,delivered,2026-07-23T18:42:00-04:00
SS-9255,#6469,64616076264385009537,USPS,2026-07-21,delivered,2026-07-24T17:22:00-05:00
SS-9378,#6471,0680269331542306002302,UPS,2026-07-21,in_transit,2026-07-26T07:15:00-04:00
SS-9506,#6474,41070716348508951237,UPS,2026-07-21,shipped,2026-07-25T14:42:00-05:00
SS-9557,#6483,76405473986221405131,FedEx,2026-07-21,delivered,2026-07-25T14:38:00-07:00
SS-9583,#6485,53496551564196789630,USPS,2026-07-21,delivered,2026-07-26T12:14:00-04:00
SS-9686,#6484,05132517904470856094,USPS,2026-07-21,delivered,2026-07-26T10:32:00-05:00
SS-9721,#6539,2809166316696874,FedEx,2026-07-21,delivered,2026-07-25T18:15:00-05:00
SS-9723,#6515,5801517642962809241150,USPS,2026-07-21,shipped,2026-07-23T06:30:00-04:00
SS-9759,#6513,7246105110900701785020,UPS,2026-07-21,delivered,2026-07-22T14:09:00-04:00
SS-9782,#6563,06283345573562327700,UPS,2026-07-21,delivered,2026-07-22T20:26:00-07:00
SS-9835,#6575,5168522476751258379900,UPS,2026-07-21,delivered,2026-07-25T21:53:00-04:00
SS-9852,#6526,52890566518378477198,UPS,2026-07-21,delivered,2026-07-25T17:05:00-05:00
SS-9943,#6562,6423940269089649666811,FedEx,2026-07-21,delivered,2026-07-26T19:44:00-05:00
SS-10011,#6488,9703204347433442106510,UPS,2026-07-21,delivered,2026-07-26T07:12:00-07:00
SS-10075,#6574,5864178256019991,USPS,2026-07-21,in_transit,2026-07-25T11:36:00-07:00
