shipment_id,shopify_order_id,tracking_number,carrier,ship_date,status,last_scan_at
SS-8052,#6754,1527420549329668516122,UPS,2026-07-26,delivered,2026-07-28T09:01:00-05:00
SS-8181,#6752,5562053364525777547812,FedEx,2026-07-26,in_transit,2026-07-27T17:00:00-04:00
SS-8235,#6741,13906048058925832067,UPS,2026-07-26,in_transit,2026-07-29T20:48:00-07:00
SS-8236,#6693,99813646225179086416,FedEx,2026-07-26,delivered,2026-07-30T19:07:00-05:00
SS-8374,#6672,60243757383959724665,FedEx,2026-07-26,delivered,2026-07-29T20:20:00-07:00
SS-8384,#6771,0548510174907539,USPS,2026-07-26,delivered,2026-07-27T20:40:00-05:00
SS-8474,#6776,7924082226940539,USPS,2026-07-26,delivered,2026-07-29T21:29:00-07:00
SS-8523,#6735,5027275164807279103368,UPS,2026-07-26,delivered,2026-07-27T10:47:00-04:00
SS-8829,#6702,20072024559102451091,UPS,2026-07-26,delivered,2026-07-28T18:28:00-07:00
SS-8882,#6739,4642036258631441706462,FedEx,2026-07-26,delivered,2026-07-29T21:27:00-04:00
SS-8901,#6697,0826958264186965,FedEx,2026-07-26,delivered,2026-07-27T12:28:00-04:00
SS-9067,#6714,9718236010712615,FedEx,2026-07-26,in_transit,2026-07-31T18:30:00-05:00
SS-9117,#6711,9117972699994981283180,FedEx,2026-07-26,delivered,2026-07-28T19:07:00-04:00
SS-9120,#6748,2990076862763328389633,UPS,2026-07-26,delivered,2026-07-31T21:19:00-04:00
SS-9136,#6740,90674568652406221559,FedEx,2026-07-26,delivered,2026-07-28T13:06:00-05:00
SS-9238,#6719,3629620805983124,USPS,2026-07-26,in_transit,2026-07-31T08:51:00-05:00
SS-9250,#6737,1825624728639420,UPS,2026-07-26,delivered,2026-07-30T14:07:00-05:00
SS-9310,#6778,9452375979531926009860,UPS,2026-07-26,delivered,2026-07-29T09:25:00-07:00
SS-9324,#6703,9138310064332262,FedEx,2026-07-26,delivery_exception,2026-07-29T08:02:00-05:00
SS-9356,#6761,9826893348649703506757,UPS,2026-07-26,delivered,2026-07-30T14:35:00-05:00
SS-9452,#6689,2662177580158466,UPS,2026-07-26,delivered,2026-07-31T17:28:00-05:00
SS-9477,#6692,0050092449287875,USPS,2026-07-26,delivered,2026-07-27T15:15:00-05:00
SS-9534,#6685,8933437518669408654243,FedEx,2026-07-26,delivered,2026-07-27T20:31:00-07:00
SS-9556,#6764,5995089142330292,USPS,2026-07-26,delivery_exception,2026-07-28T13:06:00-05:00
SS-9581,#6729,44959752135317555928,FedEx,2026-07-26,delivered,2026-07-31T20:17:00-07:00
SS-9599,#6675,14697147973418559508,UPS,2026-07-26,shipped,2026-07-31T10:07:00-07:00
SS-9626,#6738,7647545657289722,USPS,2026-07-26,delivered,2026-07-31T16:05:00-04:00
SS-9652,#6745,0369309140152731,USPS,2026-07-26,delivered,2026-07-29T06:29:00-07:00
SS-10028,#6725,4111902060713693005221,FedEx,2026-07-26,shipped,2026-07-31T20:05:00-05:00
SS-10074,#6727,8351798387135566963389,UPS,2026-07-26,delivered,2026-07-30T12:37:00-07:00
