shipment_id,shopify_order_id,tracking_number,carrier,ship_date,status,last_scan_at
SS-8076,#7605,2678886101581995,FedEx,2026-08-16,delivered,2026-08-19T10:47:00-05:00
SS-8184,#7541,2722992750373145,UPS,2026-08-16,delivered,2026-08-19T22:35:00-05:00
SS-8269,#7587,2171747733294562,UPS,2026-08-16,delivered,2026-08-17T21:11:00-07:00
SS-8333,#7563,1678112669121535396136,FedEx,2026-08-16,delivered,2026-08-18T06:13:00-05:00
SS-8352,#7543,8156985700272063,UPS,2026-08-16,in_transit,2026-08-18T16:19:00-04:00
SS-8544,#7580,4145964229712529671883,FedEx,2026-08-16,in_transit,2026-08-19T06:59:00-04:00
SS-8586,#7590,6998426732044138459609,USPS,2026-08-16,delivered,2026-08-18T21:49:00-05:00
SS-8598,#7522,7676472298120995765728,UPS,2026-08-16,in_transit,2026-08-19T06:42:00-07:00
SS-8731,#7627,6318732807711306211369,UPS,2026-08-16,delivery_exception,2026-08-18T09:55:00-04:00
SS-8970,#7545,82217588397857082004,UPS,2026-08-16,delivered,2026-08-21T11:25:00-05:00
SS-9097,#7615,5076279955302453,UPS,2026-08-16,delivered,2026-08-21T16:35:00-04:00
SS-9104,#7532,9945295171222764,UPS,2026-08-16,delivered,2026-08-17T21:16:00-07:00
SS-9150,#7634,64884997957285759582,UPS,2026-08-16,delivered,2026-08-17T06:51:00-04:00
SS-9349,#7570,9890623272371798,FedEx,2026-08-16,delivered,2026-08-17T20:14:00-07:00
SS-9361,#7531,46794036640163295737,UPS,2026-08-16,delivered,2026-08-17T09:35:00-05:00
SS-9366,#7613,1698141344760948377402,FedEx,2026-08-16,delivered,2026-08-19T19:56:00-04:00
SS-9496,#7516,31834369531029771150,UPS,2026-08-16,delivered,2026-08-17T22:47:00-07:00
SS-9498,#7529,29108739221983691573,UPS,2026-08-16,delivered,2026-08-20T19:54:00-04:00
SS-9502,#7592,0934675418236881,USPS,2026-08-16,delivered,2026-08-21T14:50:00-04:00
SS-9615,#7598,06490970342519701815,UPS,2026-08-16,delivered,2026-08-18T19:03:00-05:00
SS-9729,#7617,9911379830457627451160,FedEx,2026-08-16,delivery_exception,2026-08-19T09:11:00-05:00
SS-9752,#7536,6096064724525737,USPS,2026-08-16,delivered,2026-08-20T14:59:00-04:00
SS-9867,#7534,0961968045052112036081,UPS,2026-08-16,delivered,2026-08-20T15:14:00-04:00
SS-9890,#7566,7407036665600762282128,UPS,2026-08-16,delivered,2026-08-17T19:17:00-04:00
SS-9932,#7527,2767490641227276,UPS,2026-08-16,in_transit,2026-08-21T13:51:00-07:00
