shipment_id,shopify_order_id,tracking_number,carrier,ship_date,status,last_scan_at
SS-8097,#8503,17012770632424154152,UPS,2026-09-06,delivered,2026-09-07T13:27:00-05:00
SS-8151,#8462,25753260332309821506,UPS,2026-09-06,delivered,2026-09-07T20:57:00-05:00
SS-8243,#8448,2055543840460843,USPS,2026-09-06,shipped,2026-09-11T16:31:00-04:00
SS-8310,#8472,7884795137116241,USPS,2026-09-06,delivered,2026-09-07T09:57:00-05:00
SS-8320,#8498,9123478519610646287923,UPS,2026-09-06,delivered,2026-09-11T16:04:00-04:00
SS-8585,#8487,4085095493059660186487,UPS,2026-09-06,in_transit,2026-09-07T06:15:00-05:00
SS-8672,#8470,58231334845871493925,UPS,2026-09-06,in_transit,2026-09-07T16:39:00-05:00
SS-8684,#8482,10890285155333426433,FedEx,2026-09-06,in_transit,2026-09-07T19:40:00-07:00
SS-8808,#8491,43697093170695560767,USPS,2026-09-06,delivered,2026-09-10T09:07:00-04:00
SS-8823,#8443,04713727117595749885,FedEx,2026-09-06,in_transit,2026-09-08T09:48:00-05:00
SS-8862,#8458,3350557385736801192360,USPS,2026-09-06,delivered,2026-09-08T07:37:00-07:00
SS-9076,#8502,7312677319227607,FedEx,2026-09-06,delivered,2026-09-08T09:45:00-04:00
SS-9538,#8492,8734496686679899470617,UPS,2026-09-06,delivered,2026-09-11T14:09:00-05:00
SS-9558,#8465,8660474733891478,UPS,2026-09-06,delivered,2026-09-07T06:48:00-05:00
SS-9643,#8423,7148581970150196,FedEx,2026-09-06,in_transit,2026-09-07T10:01:00-07:00
SS-9694,#8436,4933078111719600490214,FedEx,2026-09-06,delivered,2026-09-10T12:10:00-05:00
SS-9708,#8455,0323919325282671269379,UPS,2026-09-06,delivered,2026-09-10T16:17:00-07:00
SS-9735,#8495,5744410769262654347591,UPS,2026-09-06,shipped,2026-09-10T09:26:00-07:00
SS-9792,#8484,1485418395252520,USPS,2026-09-06,in_transit,2026-09-09T12:42:00-07:00
SS-9926,#8477,8815590308196954487615,FedEx,2026-09-06,shipped,2026-09-09T06:24:00-04:00
SS-9946,#8500,9657657868005512,UPS,2026-09-06,delivered,2026-09-11T10:03:00-07:00
SS-10031,#8489,8295081499402323,FedEx,2026-09-06,delivered,2026-09-08T06:42:00-05:00
SS-10035,#8466,53779385460912104072,UPS,2026-09-06,in_transit,2026-09-11T10:42:00-05:00
SS-10043,#8456,9354337327839692151002,FedEx,2026-09-06,delivered,2026-09-07T07:56:00-04:00
