shipment_id,shopify_order_id,tracking_number,carrier,ship_date,status,last_scan_at
SS-7053,#5795,0262067240049915478872,FedEx,2026-06-28,in_transit,2026-07-02T07:40:00-04:00
SS-7079,#5811,2678886101581995,UPS,2026-06-28,delivered,2026-07-02T21:31:00-04:00
SS-7080,#5788,6046618398262244,USPS,2026-06-28,delivered,2026-07-02T12:29:00-05:00
SS-7084,#5750,3741672434266179796886,UPS,2026-06-28,in_transit,2026-07-03T15:26:00-07:00
SS-7128,#5783,2209690295939172513552,UPS,2026-06-28,delivered,2026-07-01T11:53:00-04:00
SS-7178,#5785,01102481934667665061,USPS,2026-06-28,delivery_exception,2026-07-02T06:03:00-04:00
SS-7198,#5828,6213721386589026,USPS,2026-06-28,delivered,2026-06-29T07:59:00-07:00
SS-7200,#5794,9849027703843098839205,UPS,2026-06-28,delivered,2026-07-02T07:58:00-04:00
SS-7217,#5797,99796884578317456424,UPS,2026-06-28,delivered,2026-06-29T19:11:00-04:00
SS-7245,#5753,3878003845762055543840,USPS,2026-06-28,delivered,2026-07-01T06:12:00-04:00
SS-7331,#5772,75927125663836151718,USPS,2026-06-28,delivered,2026-07-02T18:18:00-04:00
SS-7347,#5833,44820700159416516231,USPS,2026-06-28,in_transit,2026-07-03T16:37:00-07:00
SS-7386,#5818,56288431884852008943,UPS,2026-06-28,delivered,2026-07-02T22:02:00-07:00
SS-7419,#5837,3473552896112233865596,USPS,2026-06-28,in_transit,2026-07-01T06:25:00-07:00
SS-7475,#5814,28314359892625660931,USPS,2026-06-28,in_transit,2026-06-30T10:01:00-05:00
SS-7525,#5776,2723590960567303,UPS,2026-06-28,shipped,2026-06-30T21:29:00-07:00
SS-7534,#5755,3960962626582631,FedEx,2026-06-28,delivered,2026-07-03T15:29:00-04:00
SS-7620,#5864,5680447314976461368474,UPS,2026-06-28,in_transit,2026-06-29T22:00:00-05:00
SS-7677,#5853,71270587722164175823,UPS,2026-06-28,delivered,2026-07-03T10:30:00-07:00
SS-7699,#5852,42565290603202032650,FedEx,2026-06-28,delivered,2026-07-01T21:51:00-07:00
SS-7736,#5789,1271285246484494,FedEx,2026-06-28,delivered,2026-06-30T09:45:00-05:00
SS-7750,#5816,9270795515122946,USPS,2026-06-28,delivered,2026-06-30T16:01:00-07:00
SS-7775,#5835,2143308003700332285566,UPS,2026-06-28,delivered,2026-06-29T22:14:00-07:00
SS-7790,#5857,0817214364381300,USPS,2026-06-28,delivery_exception,2026-06-29T12:59:00-05:00
SS-7793,#5831,6816995706071748113176,UPS,2026-06-28,delivered,2026-07-02T12:51:00-04:00
SS-7822,#5809,6886878599648628,FedEx,2026-06-28,delivered,2026-06-30T20:36:00-04:00
SS-7859,#5758,36084937830639638452,USPS,2026-06-28,delivery_exception,2026-07-01T21:13:00-07:00
SS-7904,#5813,4899718428596932591408,USPS,2026-06-28,delivered,2026-07-03T13:23:00-05:00
SS-7909,#5801,87612385951434682394,FedEx,2026-06-28,delivered,2026-07-01T17:31:00-07:00
SS-7918,#5782,4403734167812778221021,UPS,2026-06-28,in_transit,2026-06-29T10:20:00-04:00
SS-7935,#5812,2769819878092704,UPS,2026-06-28,shipped,2026-06-30T22:50:00-04:00
SS-7973,#5806,32562389949919701426,USPS,2026-06-28,delivered,2026-07-01T18:37:00-07:00
SS-7981,#5771,8349604784217028516225,FedEx,2026-06-28,delivered,2026-07-03T20:40:00-05:00
