shipment_id,shopify_order_id,tracking_number,carrier,ship_date,status,last_scan_at
SS-7151,#5483,7432927129666676008350,USPS,2026-06-19,delivered,2026-06-23T14:38:00-07:00
SS-7226,#5466,0052812735857306,USPS,2026-06-19,in_transit,2026-06-23T22:05:00-07:00
SS-7235,#5425,9082404335048889921075,FedEx,2026-06-19,delivered,2026-06-20T08:24:00-05:00
SS-7258,#5442,2205020994510162,FedEx,2026-06-19,delivered,2026-06-21T18:43:00-05:00
SS-7343,#5392,7635148468536649,FedEx,2026-06-19,shipped,2026-06-23T18:38:00-07:00
SS-7393,#5411,96044327018510679497,FedEx,2026-06-19,delivered,2026-06-23T21:07:00-04:00
SS-7429,#5475,9663618637159741,UPS,2026-06-19,delivered,2026-06-24T21:55:00-05:00
SS-7463,#5478,3160875243772942,FedEx,2026-06-19,delivered,2026-06-23T14:14:00-04:00
SS-7497,#5394,9036788127868669,FedEx,2026-06-19,in_transit,2026-06-24T22:16:00-04:00
SS-7540,#5453,41390808823513052312,USPS,2026-06-19,shipped,2026-06-24T18:42:00-07:00
SS-7555,#5487,1815632686850745,FedEx,2026-06-19,delivered,2026-06-24T22:41:00-07:00
SS-7568,#5461,78266128758575676670,FedEx,2026-06-19,delivery_exception,2026-06-21T10:06:00-07:00
SS-7632,#5395,2057563983652037,UPS,2026-06-19,delivered,2026-06-23T19:52:00-07:00
SS-7635,#5423,0705184390552958,UPS,2026-06-19,in_transit,2026-06-24T14:23:00-05:00
SS-7660,#5408,9116331942268653,UPS,2026-06-19,delivery_exception,2026-06-21T08:35:00-04:00
SS-7752,#5404,3848075203447650,FedEx,2026-06-19,delivered,2026-06-23T08:16:00-04:00
SS-7774,#5493,15551651768086628137,FedEx,2026-06-19,delivered,2026-06-23T11:49:00-04:00
SS-7805,#5462,75175889144449835539,USPS,2026-06-19,shipped,2026-06-20T18:36:00-04:00
SS-7832,#5465,0944128333721885666954,UPS,2026-06-19,delivered,2026-06-20T18:03:00-07:00
SS-7841,#5484,70526351004627765725,UPS,2026-06-19,delivery_exception,2026-06-22T10:32:00-05:00
SS-7849,#5393,8811210314217518878179,USPS,2026-06-19,delivered,2026-06-22T21:10:00-05:00
SS-7862,#5456,3106153722155668473236,FedEx,2026-06-19,delivery_exception,2026-06-24T12:33:00-04:00
SS-7869,#5391,5573857368011923603768,FedEx,2026-06-19,delivered,2026-06-24T10:36:00-04:00
SS-7985,#5412,5230458816502544,FedEx,2026-06-19,in_transit,2026-06-21T06:44:00-07:00
SS-7986,#5406,7241916503440966177182,UPS,2026-06-19,delivered,2026-06-20T07:50:00-04:00
SS-8003,#5383,1816778481652444,USPS,2026-06-19,delivered,2026-06-21T18:14:00-05:00
