shipment_id,shopify_order_id,tracking_number,carrier,ship_date,status,last_scan_at
SS-8036,#8030,84249818299229959001,FedEx,2026-08-28,delivered,2026-09-01T22:19:00-04:00
SS-8068,#8089,7280801006231203875099,USPS,2026-08-28,delivered,2026-08-30T13:22:00-04:00
SS-8069,#8090,7700886008484086211823,FedEx,2026-08-28,delivered,2026-08-29T17:54:00-05:00
SS-8083,#8091,1438889937567982507146,UPS,2026-08-28,delivered,2026-08-31T22:52:00-05:00
SS-8132,#8115,11586938068687937416,FedEx,2026-08-28,delivered,2026-09-01T20:05:00-05:00
SS-8214,#8032,7282997968845783174564,UPS,2026-08-28,delivered,2026-08-30T19:53:00-07:00
SS-8250,#8057,3476447264908277,FedEx,2026-08-28,shipped,2026-08-29T21:32:00-04:00
SS-8302,#8086,6317970623972652,UPS,2026-08-28,delivered,2026-08-31T09:36:00-04:00
SS-8327,#8080,24013223423216110760,UPS,2026-08-28,in_transit,2026-08-31T07:47:00-07:00
SS-8366,#8127,49961659266108573278,UPS,2026-08-28,delivered,2026-08-31T16:40:00-07:00
SS-8476,#8155,2901487068277881,USPS,2026-08-28,delivered,2026-09-01T11:59:00-04:00
SS-8594,#8051,3537513765158815793763,FedEx,2026-08-28,delivered,2026-08-31T10:05:00-07:00
SS-8649,#8154,6424809624406306,USPS,2026-08-28,delivery_exception,2026-08-30T09:46:00-07:00
SS-8806,#8130,72696084376855078967,UPS,2026-08-28,delivered,2026-08-31T09:18:00-05:00
SS-8831,#8096,4281793406527758,FedEx,2026-08-28,delivered,2026-09-01T16:39:00-05:00
SS-8965,#8146,5204998094976987313797,USPS,2026-08-28,delivered,2026-08-30T11:04:00-05:00
SS-8966,#8113,16698416612374077943,USPS,2026-08-28,delivered,2026-08-29T17:27:00-07:00
SS-8995,#8148,1750801963045306935882,FedEx,2026-08-28,delivered,2026-08-31T08:29:00-04:00
SS-9037,#8142,2129964260336202,FedEx,2026-08-28,delivered,2026-08-29T19:25:00-04:00
SS-9069,#8029,2280194425892225606295,FedEx,2026-08-28,delivered,2026-08-31T15:30:00-07:00
SS-9160,#8153,5116436902837727,USPS,2026-08-28,delivered,2026-09-02T16:48:00-07:00
SS-9264,#8050,7263681541858990027729,UPS,2026-08-28,delivered,2026-09-01T21:01:00-07:00
SS-9377,#8067,7818710968564257,UPS,2026-08-28,delivered,2026-08-31T07:26:00-07:00
SS-9537,#8039,5047188300995428,UPS,2026-08-28,delivered,2026-08-29T18:03:00-07:00
SS-9542,#8087,6937540242861789257140,USPS,2026-08-28,delivered,2026-09-02T15:56:00-05:00
SS-9586,#8037,8040334801537358,FedEx,2026-08-28,delivered,2026-08-31T13:55:00-04:00
SS-9666,#8070,1433608090101461,USPS,2026-08-28,delivered,2026-08-31T06:15:00-04:00
SS-9670,#8060,0783083069789995145498,FedEx,2026-08-28,delivered,2026-09-02T17:49:00-05:00
SS-9710,#8093,11433064098058771555,UPS,2026-08-28,delivered,2026-08-29T13:07:00-07:00
SS-9850,#8097,9541760909371645,UPS,2026-08-28,shipped,2026-08-31T18:08:00-04:00
SS-9887,#8105,97585861888178602159,USPS,2026-08-28,delivered,2026-08-31T21:40:00-05:00
SS-9903,#8124,4917732609685688886108,USPS,2026-08-28,delivered,2026-08-30T14:28:00-07:00
SS-9937,#8140,01055839111532026400,UPS,2026-08-28,delivery_exception,2026-08-30T21:25:00-07:00
SS-10039,#8088,49645495957812731742,FedEx,2026-08-28,in_transit,2026-09-01T13:11:00-04:00
