shipment_id,shopify_order_id,tracking_number,carrier,ship_date,status,last_scan_at
SS-8061,#6462,3959953428364408926870,UPS,2026-07-20,delivered,2026-07-21T18:36:00-04:00
SS-8071,#6487,7002176591803397,USPS,2026-07-20,delivered,2026-07-22T22:41:00-07:00
SS-8133,#6489,08989921722332061632,FedEx,2026-07-20,delivered,2026-07-24T20:53:00-04:00
SS-8157,#6442,16674676212021697972,USPS,2026-07-20,in_transit,2026-07-23T18:43:00-05:00
SS-8161,#6511,17751701660880199488,UPS,2026-07-20,shipped,2026-07-23T08:21:00-07:00
SS-8203,#6493,7908075957947284,USPS,2026-07-20,delivered,2026-07-25T11:49:00-04:00
SS-8264,#6445,3842150317807823578452,FedEx,2026-07-20,delivery_exception,2026-07-21T10:23:00-07:00
SS-8353,#6478,4591123829657724295431,USPS,2026-07-20,shipped,2026-07-24T14:14:00-04:00
SS-8408,#6507,3990767699150785931109,UPS,2026-07-20,delivered,2026-07-24T07:17:00-05:00
SS-8444,#6455,6270661498282467474689,FedEx,2026-07-20,delivery_exception,2026-07-24T19:52:00-07:00
SS-8463,#6476,12662015720185962630,FedEx,2026-07-20,delivered,2026-07-21T06:22:00-04:00
SS-8468,#6426,0118458260340848729758,USPS,2026-07-20,delivery_exception,2026-07-21T08:05:00-05:00
SS-8484,#6417,4716392823414363718923,UPS,2026-07-20,delivered,2026-07-21T07:33:00-04:00
SS-8496,#6427,7272239724042269,USPS,2026-07-20,delivered,2026-07-22T22:28:00-05:00
SS-8521,#6437,4614768342016542,USPS,2026-07-20,in_transit,2026-07-23T21:12:00-07:00
SS-8566,#6480,60146723849791620223,UPS,2026-07-20,delivered,2026-07-25T15:44:00-04:00
SS-8578,#6443,72401078356743000389,FedEx,2026-07-20,delivered,2026-07-23T12:07:00-07:00
SS-8651,#6423,7969586780555572773826,USPS,2026-07-20,shipped,2026-07-23T14:23:00-05:00
SS-8749,#6457,3110059129751910231211,UPS,2026-07-20,delivered,2026-07-23T19:56:00-07:00
SS-8775,#6519,4247310720113798440971,USPS,2026-07-20,delivered,2026-07-21T20:31:00-05:00
SS-8814,#6468,37213290162047876886,FedEx,2026-07-20,in_transit,2026-07-21T22:15:00-07:00
SS-8850,#6494,30448818984841604615,USPS,2026-07-20,in_transit,2026-07-21T10:12:00-04:00
SS-8871,#6530,38187692082832308981,FedEx,2026-07-20,delivered,2026-07-22T20:57:00-05:00
SS-8978,#6531,9236133760523045881650,FedEx,2026-07-20,delivery_exception,2026-07-23T17:14:00-05:00
SS-9000,#6422,86424238397283391218,UPS,2026-07-20,delivered,2026-07-22T15:16:00-05:00
SS-9096,#6450,1330303346771167,UPS,2026-07-20,delivered,2026-07-25T18:46:00-07:00
SS-9163,#6486,02730427636281444718,USPS,2026-07-20,in_transit,2026-07-22T21:44:00-05:00
SS-9271,#6502,89198271826533717086,USPS,2026-07-20,delivered,2026-07-21T12:44:00-07:00
SS-9279,#6441,6344435962458701204242,USPS,2026-07-20,in_transit,2026-07-21T13:24:00-07:00
SS-9300,#6458,8039662038588640,FedEx,2026-07-20,delivered,2026-07-21T16:35:00-05:00
SS-9421,#6454,5369158557490627,FedEx,2026-07-20,delivered,2026-07-25T12:41:00-04:00
SS-9424,#6439,9172174292204167821539,UPS,2026-07-20,shipped,2026-07-24T17:29:00-05:00
SS-9449,#6517,9027169883716115866861,FedEx,2026-07-20,delivered,2026-07-22T08:59:00-07:00
SS-9501,#6470,0345029586760304,UPS,2026-07-20,in_transit,2026-07-22T17:39:00-04:00
SS-9656,#6440,76144278735540423169,USPS,2026-07-20,delivered,2026-07-21T21:11:00-04:00
SS-9671,#6418,3671467490668867518571,FedEx,2026-07-20,delivery_exception,2026-07-23T22:29:00-07:00
SS-9701,#6434,46463989701455703934,FedEx,2026-07-20,delivered,2026-07-23T15:00:00-05:00
SS-9732,#6534,6113997992715603,USPS,2026-07-20,delivered,2026-07-23T16:26:00-05:00
