shipment_id,shopify_order_id,tracking_number,carrier,ship_date,status,last_scan_at
SS-8019,#7421,2962229270653794738347,UPS,2026-08-13,delivered,2026-08-17T16:18:00-07:00
SS-8048,#7467,4198665240415747338484,UPS,2026-08-13,delivered,2026-08-16T09:23:00-07:00
SS-8085,#7484,14010512382825867362,UPS,2026-08-13,in_transit,2026-08-14T09:17:00-07:00
SS-8150,#7508,0335421689421044789856,UPS,2026-08-13,delivered,2026-08-14T17:20:00-04:00
SS-8226,#7448,6209593518638782,UPS,2026-08-13,delivered,2026-08-16T16:53:00-04:00
SS-8249,#7499,5699988081770388608680,FedEx,2026-08-13,delivered,2026-08-18T16:56:00-07:00
SS-8263,#7474,0568299629145046173574,UPS,2026-08-13,delivered,2026-08-18T10:25:00-05:00
SS-8275,#7456,2405800851403696,USPS,2026-08-13,delivered,2026-08-14T11:07:00-05:00
SS-8388,#7512,70285196115940821545,FedEx,2026-08-13,delivered,2026-08-17T18:24:00-04:00
SS-8403,#7449,9212493843089487060566,FedEx,2026-08-13,delivered,2026-08-15T14:25:00-07:00
SS-8599,#7495,94134750988986456522,UPS,2026-08-13,delivery_exception,2026-08-15T13:47:00-04:00
SS-8692,#7438,5917793238223116491334,USPS,2026-08-13,delivered,2026-08-17T22:19:00-05:00
SS-8710,#7427,0139488488269131,UPS,2026-08-13,in_transit,2026-08-15T16:33:00-07:00
SS-8733,#7420,2573066248132357,UPS,2026-08-13,delivered,2026-08-16T22:23:00-04:00
SS-8830,#7479,09032671494981942179,USPS,2026-08-13,delivered,2026-08-15T10:13:00-04:00
SS-8855,#7497,16234190310615372215,USPS,2026-08-13,delivery_exception,2026-08-16T21:24:00-04:00
SS-8861,#7402,07321464493699951679,FedEx,2026-08-13,delivered,2026-08-18T13:24:00-05:00
SS-8870,#7514,5493036468719120,FedEx,2026-08-13,delivered,2026-08-18T07:40:00-07:00
SS-8911,#7463,9502648016440373416781,USPS,2026-08-13,delivered,2026-08-16T22:35:00-04:00
SS-8922,#7392,7085806235040566,UPS,2026-08-13,in_transit,2026-08-18T14:59:00-04:00
SS-8940,#7505,0529187683160827,USPS,2026-08-13,delivered,2026-08-16T22:09:00-04:00
SS-9062,#7477,0140052781055800027221,FedEx,2026-08-13,shipped,2026-08-15T12:17:00-04:00
SS-9395,#7501,9101612590163994901333,UPS,2026-08-13,delivered,2026-08-14T09:50:00-07:00
SS-9532,#7440,69692295338619411839,USPS,2026-08-13,delivered,2026-08-17T16:37:00-05:00
SS-9743,#7437,7065076122283056446853,USPS,2026-08-13,delivered,2026-08-15T15:02:00-07:00
SS-9800,#7457,64523191990821335683,FedEx,2026-08-13,in_transit,2026-08-16T20:32:00-07:00
SS-9812,#7486,6014584081144157281436,UPS,2026-08-13,delivered,2026-08-18T12:11:00-05:00
SS-9889,#7439,95480704731483687477,FedEx,2026-08-13,in_transit,2026-08-17T09:09:00-07:00
SS-10005,#7400,1096745136365905041737,USPS,2026-08-13,delivered,2026-08-17T21:27:00-04:00
SS-10016,#7492,34188079640315758593,UPS,2026-08-13,delivered,2026-08-17T13:02:00-07:00
SS-10036,#7489,5453960160993247,USPS,2026-08-13,delivered,2026-08-15T12:29:00-04:00
SS-10063,#7455,74054586618248741427,FedEx,2026-08-13,delivered,2026-08-14T08:04:00-07:00
